respondent_id,interest
514,Music and theatre
514,Entertainment & celebrities
514,Travelling abroad
514,Theatre
514,dance & other performing arts
514,Practising a sport
515,Fitness & training
515,Outdoor recreation
515,Sustainability & environment
515,Theatre
515,dance & other performing arts
515,Practising a sport
516,Books/literature
516,Films
516,Interior design
516,Arts & Crafts
516,Music and theatre
517,Books/literature
517,Economy & business
517,Sustainability & environment
517,Health & wellness
517,Local news
517,Fashion and clothing
517,New technologies & digitalisation
517,Politics
517,Travelling abroad
517,Foreign news & foreign policy
517,Practising a sport
518,Books/literature
518,Local news
518,Music and theatre
518,Entertainment & celebrities
518,Travelling abroad
518,Series on TV or online
518,Sports news
518,Plants
